table_name,row,osc_1,osc_2,osc_3,osc_4
3-note Chords,1,0,2,4,NA
3-note Chords,2,0,2,5,NA
3-note Chords,3,0,2,6,NA
3-note Chords,4,0,2,7,NA
3-note Chords,5,0,2,8,NA
3-note Chords,6,0,2,9,NA
3-note Chords,7,0,2,10,NA
3-note Chords,8,0,2,11,NA
3-note Chords,9,0,2,12,NA
3-note Chords,10,0,2,13,NA
3-note Chords,11,0,2,14,NA
3-note Chords,12,0,3,5,NA
3-note Chords,13,0,3,6,NA
3-note Chords,14,0,3,7,NA
3-note Chords,15,0,3,8,NA
3-note Chords,16,0,3,9,NA
3-note Chords,17,0,3,10,NA
3-note Chords,18,0,3,11,NA
3-note Chords,19,0,3,12,NA
3-note Chords,20,0,3,13,NA
3-note Chords,21,0,3,14,NA
3-note Chords,22,0,4,6,NA
3-note Chords,23,0,4,7,NA
3-note Chords,24,0,4,8,NA
3-note Chords,25,0,4,9,NA
3-note Chords,26,0,4,10,NA
3-note Chords,27,0,4,11,NA
3-note Chords,28,0,4,12,NA
3-note Chords,29,0,4,13,NA
3-note Chords,30,0,4,14,NA
3-note Chords,31,0,5,7,NA
3-note Chords,32,0,5,8,NA
3-note Chords,33,0,5,9,NA
3-note Chords,34,0,5,10,NA
3-note Chords,35,0,5,11,NA
3-note Chords,36,0,5,12,NA
3-note Chords,37,0,5,13,NA
3-note Chords,38,0,5,14,NA
3-note Chords,39,0,6,8,NA
3-note Chords,40,0,6,9,NA
3-note Chords,41,0,6,10,NA
3-note Chords,42,0,6,11,NA
3-note Chords,43,0,6,12,NA
3-note Chords,44,0,6,13,NA
3-note Chords,45,0,6,14,NA
3-note Chords,46,0,7,9,NA
3-note Chords,47,0,7,10,NA
3-note Chords,48,0,7,11,NA
3-note Chords,49,0,7,12,NA
3-note Chords,50,0,7,13,NA
3-note Chords,51,0,7,14,NA
3-note Chords,52,0,8,10,NA
3-note Chords,53,0,8,11,NA
3-note Chords,54,0,8,12,NA
3-note Chords,55,0,8,13,NA
3-note Chords,56,0,8,14,NA
3-note Chords,57,0,9,11,NA
3-note Chords,58,0,9,12,NA
3-note Chords,59,0,9,13,NA
3-note Chords,60,0,9,14,NA
3-note Chords,61,0,10,12,NA
3-note Chords,62,0,10,13,NA
3-note Chords,63,0,10,14,NA
3-note Chords,64,0,11,13,NA
4-note Chords,1,0,2,4,6
4-note Chords,2,0,2,4,7
4-note Chords,3,0,2,4,8
4-note Chords,4,0,2,4,9
4-note Chords,5,0,2,4,10
4-note Chords,6,0,2,4,11
4-note Chords,7,0,2,5,7
4-note Chords,8,0,2,5,8
4-note Chords,9,0,2,5,9
4-note Chords,10,0,2,5,10
4-note Chords,11,0,2,5,11
4-note Chords,12,0,2,6,8
4-note Chords,13,0,2,6,9
4-note Chords,14,0,2,6,10
4-note Chords,15,0,2,6,11
4-note Chords,16,0,2,7,9
4-note Chords,17,0,2,7,10
4-note Chords,18,0,2,7,11
4-note Chords,19,0,2,8,10
4-note Chords,20,0,2,8,11
4-note Chords,21,0,2,9,10
4-note Chords,22,0,2,9,11
4-note Chords,23,0,3,5,7
4-note Chords,24,0,3,5,8
4-note Chords,25,0,3,5,9
4-note Chords,26,0,3,5,10
4-note Chords,27,0,3,5,11
4-note Chords,28,0,3,6,8
4-note Chords,29,0,3,6,9
4-note Chords,30,0,3,6,10
4-note Chords,31,0,3,6,11
4-note Chords,32,0,3,7,9
4-note Chords,33,0,3,7,10
4-note Chords,34,0,3,7,11
4-note Chords,35,0,3,8,10
4-note Chords,36,0,3,8,11
4-note Chords,37,0,3,9,10
4-note Chords,38,0,3,9,11
4-note Chords,39,0,4,6,8
4-note Chords,40,0,4,6,9
4-note Chords,41,0,4,6,10
4-note Chords,42,0,4,6,11
4-note Chords,43,0,4,7,9
4-note Chords,44,0,4,7,10
4-note Chords,45,0,4,7,11
4-note Chords,46,0,4,8,10
4-note Chords,47,0,4,8,11
4-note Chords,48,0,4,9,10
4-note Chords,49,0,4,9,11
4-note Chords,50,0,5,7,9
4-note Chords,51,0,5,7,10
4-note Chords,52,0,5,7,11
4-note Chords,53,0,5,8,10
4-note Chords,54,0,5,8,11
4-note Chords,55,0,5,9,10
4-note Chords,56,0,5,9,11
4-note Chords,57,0,6,8,10
4-note Chords,58,0,6,8,11
4-note Chords,59,0,6,9,11
4-note Chords,60,0,7,9,11
Harmonic Chords,1,0,2.98,5.51,12
Harmonic Chords,2,0,2.98,7.02,13.05
Harmonic Chords,3,0,2.98,8.41,14.04
Harmonic Chords,4,0,2.98,9.06,14.98
Harmonic Chords,5,0,3.86,9.69,15.86
Harmonic Chords,6,0,3.86,10.88,16.71
Harmonic Chords,7,0,3.86,12,17.51
Harmonic Chords,8,0,3.86,13.05,19.02
Harmonic Chords,9,0,3.86,14.04,20.41
Harmonic Chords,10,0,7.02,14.98,21.06
Harmonic Chords,11,0,7.02,15.86,21.69
Harmonic Chords,12,0,7.02,16.71,22.88
Harmonic Chords,13,0,7.02,17.51,24
Harmonic Chords,14,0,7.02,19.02,25.05
Harmonic Chords,15,0,7.02,20.41,26.04
Harmonic Chords,16,0,7.02,21.06,26.98
Harmonic Chords,17,7.02,9.68,21.69,27.86
Harmonic Chords,18,7.02,9.68,22.88,28.71
Harmonic Chords,19,7.02,9.68,12,29.51
Harmonic Chords,20,7.02,9.68,13.05,31.02
Harmonic Chords,21,7.02,9.68,14.04,32.41
Harmonic Chords,22,7.02,9.68,14.98,33.06
Harmonic Chords,23,7.02,9.68,15.86,33.69
